2025-01-19 22:04:47.725 [main] INFO  com.itheima.TliasWebManagementApplication-Starting TliasWebManagementApplication using Java 17.0.12 with PID 31629 (/Users/daykalif/Desktop/web-project/javaweb-ai-project02/tlias-web-management/target/classes started by daykalif in /Users/daykalif/Desktop/web-project/javaweb-ai-project02/tlias-web-management)
2025-01-19 22:04:47.726 [main] INFO  com.itheima.TliasWebManagementApplication-No active profile set, falling back to 1 default profile: "default"
2025-01-19 22:04:48.097 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer-Tomcat initialized with port 8080 (http)
2025-01-19 22:04:48.102 [main] INFO  org.apache.coyote.http11.Http11NioProtocol-Initializing ProtocolHandler ["http-nio-8080"]
2025-01-19 22:04:48.103 [main] INFO  org.apache.catalina.core.StandardService-Starting service [Tomcat]
2025-01-19 22:04:48.103 [main] INFO  org.apache.catalina.core.StandardEngine-Starting Servlet engine: [Apache Tomcat/10.1.34]
2025-01-19 22:04:48.123 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]-Initializing Spring embedded WebApplicationContext
2025-01-19 22:04:48.123 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext-Root WebApplicationContext: initialization completed in 381 ms
2025-01-19 22:04:48.325 [main] INFO  org.apache.coyote.http11.Http11NioProtocol-Starting ProtocolHandler ["http-nio-8080"]
2025-01-19 22:04:48.333 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer-Tomcat started on port 8080 (http) with context path '/'
2025-01-19 22:04:48.338 [main] INFO  com.itheima.TliasWebManagementApplication-Started TliasWebManagementApplication in 0.771 seconds (process running for 1.084)
2025-01-19 22:04:55.660 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]-Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-01-19 22:04:55.660 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet-Initializing Servlet 'dispatcherServlet'
2025-01-19 22:04:55.661 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet-Completed initialization in 1 ms
2025-01-19 22:04:55.682 [http-nio-8080-exec-1] INFO  com.itheima.controller.DeptController-根据Id查询部门***>9
2025-01-19 22:04:55.692 [http-nio-8080-exec-1] INFO  com.zaxxer.hikari.HikariDataSource-HikariPool-1 - Starting...
2025-01-19 22:04:55.840 [http-nio-8080-exec-1] INFO  com.zaxxer.hikari.pool.HikariPool-HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@4b16724c
2025-01-19 22:04:55.840 [http-nio-8080-exec-1] INFO  com.zaxxer.hikari.HikariDataSource-HikariPool-1 - Start completed.
2025-01-19 22:04:58.025 [http-nio-8080-exec-2] INFO  com.itheima.controller.DeptController-根据Id查询部门***>8
2025-01-19 22:05:00.394 [http-nio-8080-exec-3] INFO  com.itheima.controller.DeptController-根据Id查询部门***>5
2025-01-19 22:05:02.098 [http-nio-8080-exec-4] INFO  com.itheima.controller.DeptController-根据Id查询部门***>9
2025-01-19 22:05:04.503 [http-nio-8080-exec-5] INFO  com.itheima.controller.DeptController-修改部门###>Dept(id=9, name=全文123, createTime=2025-01-18T12:50:54, updateTime=2025-01-18T22:20:05)
2025-01-19 22:05:04.514 [http-nio-8080-exec-6] INFO  com.itheima.controller.DeptController-查询全部部门
2025-01-19 22:05:07.833 [http-nio-8080-exec-7] INFO  com.itheima.controller.DeptController-查询全部部门
2025-01-19 22:05:11.087 [http-nio-8080-exec-8] INFO  com.itheima.controller.DeptController-根据Id删除部门===>9
2025-01-19 22:05:11.101 [http-nio-8080-exec-9] INFO  com.itheima.controller.DeptController-查询全部部门
2025-01-19 22:05:28.899 [http-nio-8080-exec-10] INFO  com.itheima.controller.DeptController-新增部门--->Dept(id=null, name=社工部, createTime=null, updateTime=null)
2025-01-19 22:05:28.916 [http-nio-8080-exec-1] INFO  com.itheima.controller.DeptController-查询全部部门
2025-01-19 22:05:57.570 [SpringApplicationShutdownHook] INFO  o.s.boot.web.embedded.tomcat.GracefulShutdown-Commencing graceful shutdown. Waiting for active requests to complete
2025-01-19 22:05:57.575 [tomcat-shutdown] INFO  o.s.boot.web.embedded.tomcat.GracefulShutdown-Graceful shutdown complete
2025-01-19 22:05:57.577 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource-HikariPool-1 - Shutdown initiated...
2025-01-19 22:05:57.580 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource-HikariPool-1 - Shutdown completed.
